membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memCis,memCisRabA,memCisRabB,memCisRabC,memCisRabD,memCisRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memMedial,memMedialRabA,memMedialRabB,memMedialRabC,memMedialRabD,memMedialRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTrans,memTransRabA,memTransRabB,memTransRabC,memTransRabD,memTransRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,
0.0,0.98198,0.01802,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.98198,0.01802,0.0,0.0,0.0,0.0,0.98198,0.01802,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0268,0.0,0.0,0.0,0.0,0.54343,0.45657,0.0,0.0,0.0,0.0,0.97413,0.02587,0.0,0.0,0.0,0.0,0.98198,0.01802,0.0,0.0,0.0,0.0,0.97413,0.02587,0.0,0.0,0.0,0.0,0.98198,0.01802,0.0,0.0,0.0,
0.0,0.0,0.98181,0.01819,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98181,0.01819,0.0,0.0,0.0,0.0,0.98181,0.01819,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98993,0.01007,0.0,0.0,0.0,0.0,0.98196,0.01804,0.0,0.0,0.0,0.0,0.98181,0.01819,0.0,0.0,0.0,0.0,0.98196,0.01804,0.0,0.0,0.0,0.0,0.98181,0.01819,0.0,0.0,
0.0,0.0,0.99082,0.00918,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.99082,0.00918,0.0,0.0,0.0,0.0,0.54028,0.45972,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.74559,0.25441,0.0,0.0,0.0,0.0,0.98291,0.01709,0.0,0.0,0.0,0.0,0.99082,0.00918,0.0,0.0,0.0,0.0,0.98291,0.01709,0.0,0.0,0.0,0.0,0.99082,0.00918,0.0,0.0,
0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.54023,0.45977,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.74684,0.25316,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,
0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.54023,0.45977,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.74684,0.25316,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,
0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.54023,0.45977,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.98197,0.01803,0.0,0.0,0.0,0.0,0.74684,0.25316,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,0.0,0.0,0.9829,0.0171,0.0,0.0,0.0,0.0,0.99074,0.00926,0.0,0.0,
0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.52923,0.47077,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.80466,0.19534,0.0,0.0,0.0,0.0,0.92444,0.07556,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.92444,0.07556,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,
0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.52923,0.47077,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.80466,0.19534,0.0,0.0,0.0,0.0,0.92444,0.07556,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,0.0,0.0,0.92444,0.07556,0.0,0.0,0.0,0.0,0.93041,0.06959,0.0,0.0,
0.0,0.0,0.93857,0.06143,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.93857,0.06143,0.0,0.0,0.0,0.0,0.30167,0.69833,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.92378,0.07622,0.0,0.0,0.0,0.0,0.71024,0.28976,0.0,0.0,0.0,0.0,0.92525,0.07475,0.0,0.0,0.0,0.0,0.93857,0.06143,0.0,0.0,0.0,0.0,0.92525,0.07475,0.0,0.0,0.0,0.0,0.93857,0.06143,0.0,0.0,
