RabA,RabB,RabC,RabD,RabE,area,memCis,memL,memLS,memMedial,memS,memTrans,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
1677296.32,46181.41,0.0,0.0,0.0,1723477.73,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.685150299E7,
1677296.32,30787.61,0.0,0.0,0.0,1708083.93,7961.25,8033.0,8033.0,7961.25,7961.25,7961.25,4445.53,1.0,992.01,196257.0,194688.3,1.0,1.67168072E7,
0.0,1661902.51,30787.61,0.0,0.0,1692690.12,7961.25,8033.0,8033.0,7961.25,7961.25,7961.25,4445.53,1.0,992.01,196257.0,194688.3,1.0,1.658211142E7,
0.0,1661902.51,15393.8,0.0,0.0,1677296.32,7888.85,8033.0,4380.28,7888.85,7888.85,7888.85,2424.09,1.0,983.95,196257.0,193106.85,1.0,1.644741563E7,
0.0,1646508.71,15393.8,0.0,0.0,1661902.51,7816.45,8033.0,4380.28,7816.45,7816.45,7816.45,1311.7,1.0,975.89,196257.0,191525.41,1.0,1.631271985E7,
0.0,1646508.71,15393.8,0.0,0.0,1661902.51,7816.45,8033.0,4380.28,7816.45,7816.45,7816.45,1311.7,1.0,975.89,196257.0,191525.41,1.0,1.631271985E7,
0.0,1646508.71,15393.8,0.0,0.0,1661902.51,7816.45,8033.0,4380.28,7816.45,7816.45,7816.45,1311.7,1.0,975.89,196257.0,191525.41,1.0,1.631271985E7,
0.0,1646508.71,123150.43,0.0,0.0,1769659.14,7820.82,8033.0,4569.28,7820.82,7820.82,7820.82,1895.94,1.0,976.33,196257.0,191611.15,1.0,1.725559034E7,
0.0,1646508.71,123150.43,0.0,0.0,1769659.14,7820.82,8033.0,4569.28,7820.82,7820.82,7820.82,1895.94,1.0,976.33,196257.0,191611.15,1.0,1.725559034E7,
0.0,1646508.71,107756.63,0.0,0.0,1754265.34,7752.79,8033.0,2581.93,7752.79,7752.79,7752.79,1071.33,1.0,968.71,196257.0,190115.45,1.0,1.712089456E7,
0.0,1646508.71,107756.63,0.0,0.0,1754265.34,7752.79,8033.0,2581.93,7752.79,7752.79,7752.79,1071.33,1.0,968.71,196257.0,190115.45,1.0,1.712089456E7,
0.0,1631114.91,107756.63,0.0,0.0,1738871.53,7684.76,8033.0,2581.93,7684.76,7684.76,7684.76,601.28,1.0,961.09,196257.0,188619.75,1.0,1.698619877E7,
0.0,1631114.91,107756.63,0.0,0.0,1738871.53,7684.76,8033.0,2581.93,7684.76,7684.76,7684.76,601.28,1.0,961.09,196257.0,188619.75,1.0,1.698619877E7,
0.0,1631114.91,107756.63,0.0,0.0,1738871.53,7684.76,8033.0,2581.93,7684.76,7684.76,7684.76,601.28,1.0,961.09,196257.0,188619.75,1.0,1.698619877E7,
0.0,1631114.91,107756.63,0.0,0.0,1738871.53,7684.76,8033.0,2581.93,7684.76,7684.76,7684.76,601.28,1.0,961.09,196257.0,188619.75,1.0,1.698619877E7,
0.0,1631114.91,107756.63,0.0,0.0,1738871.53,7684.76,8033.0,2581.93,7684.76,7684.76,7684.76,601.28,1.0,961.09,196257.0,188619.75,1.0,1.698619877E7,
0.0,1615721.1,107756.63,0.0,0.0,1723477.73,7616.72,8033.0,2581.93,7616.72,7616.72,7616.72,335.13,1.0,953.46,196257.0,187124.05,1.0,1.685150299E7,
0.0,1600327.3,107756.63,0.0,0.0,1708083.93,7548.69,8033.0,2581.93,7548.69,7548.69,7548.69,185.46,1.0,945.84,196257.0,185628.34,1.0,1.67168072E7,
0.0,1600327.3,107756.63,0.0,0.0,1708083.93,7548.69,8033.0,2581.93,7548.69,7548.69,7548.69,185.46,1.0,945.84,196257.0,185628.34,1.0,1.67168072E7,
0.0,1600327.3,107756.63,0.0,0.0,1708083.93,7548.69,8033.0,2581.93,7548.69,7548.69,7548.69,185.46,1.0,945.84,196257.0,185628.34,1.0,1.67168072E7,
0.0,1600327.3,107756.63,0.0,0.0,1708083.93,7548.69,8033.0,2581.93,7548.69,7548.69,7548.69,185.46,1.0,945.84,196257.0,185628.34,1.0,1.67168072E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,1584933.49,107756.63,0.0,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,0.0,1584933.49,107756.63,0.0,1692690.12,7480.66,8033.0,2581.93,7480.66,7480.66,7480.66,101.89,1.0,938.22,196257.0,184132.64,1.0,1.658211142E7,
0.0,0.0,1554145.89,107756.63,0.0,1661902.51,7344.6,8033.0,761.83,7344.6,7344.6,7344.6,30.06,1.0,922.98,196257.0,181141.24,1.0,1.631271985E7,
0.0,0.0,1538752.08,107756.63,0.0,1646508.71,7276.57,8033.0,409.0,7276.57,7276.57,7276.57,16.14,1.0,915.36,196257.0,179645.54,1.0,1.617802406E7,
0.0,0.0,1538752.08,107756.63,0.0,1646508.71,7276.57,8033.0,409.0,7276.57,7276.57,7276.57,16.14,1.0,915.36,196257.0,179645.54,1.0,1.617802406E7,
0.0,0.0,1538752.08,107756.63,0.0,1646508.71,7276.57,8033.0,409.0,7276.57,7276.57,7276.57,16.14,1.0,915.36,196257.0,179645.54,1.0,1.617802406E7,
0.0,0.0,1538752.08,107756.63,0.0,1646508.71,7276.57,8033.0,409.0,7276.57,7276.57,7276.57,16.14,1.0,915.36,196257.0,179645.54,1.0,1.617802406E7,
0.0,0.0,1538752.08,92362.82,0.0,1631114.91,7208.54,8033.0,409.0,7208.54,7208.54,7208.54,8.6,1.0,907.74,196257.0,178149.84,1.0,1.604332828E7,
0.0,0.0,1538752.08,92362.82,0.0,1631114.91,7208.54,8033.0,409.0,7208.54,7208.54,7208.54,8.6,1.0,907.74,196257.0,178149.84,1.0,1.604332828E7,
0.0,0.0,1538752.08,76969.02,0.0,1615721.1,7140.5,8033.0,409.0,7140.5,7140.5,7140.5,4.54,1.0,900.12,196257.0,176654.14,1.0,1.590863249E7,
0.0,0.0,1523358.28,61575.22,0.0,1584933.49,7004.44,8033.0,212.29,7004.44,7004.44,7004.44,1.23,1.0,884.87,196257.0,173662.73,1.0,1.563924092E7,
0.0,0.0,1523358.28,61575.22,0.0,1584933.49,7004.44,8033.0,212.29,7004.44,7004.44,7004.44,1.23,1.0,884.87,196257.0,173662.73,1.0,1.563924092E7,
0.0,0.0,1523358.28,61575.22,0.0,1584933.49,7004.44,8033.0,212.29,7004.44,7004.44,7004.44,1.23,1.0,884.87,196257.0,173662.73,1.0,1.563924092E7,
0.0,0.0,1507964.47,61575.22,0.0,1569539.69,6936.41,8033.0,109.19,6936.41,6936.41,6936.41,0.63,1.0,877.25,196257.0,172167.03,1.0,1.550454514E7,
0.0,0.0,1507964.47,61575.22,0.0,1569539.69,6936.41,8033.0,109.19,6936.41,6936.41,6936.41,0.63,1.0,877.25,196257.0,172167.03,1.0,1.550454514E7,
0.0,0.0,1507964.47,46181.41,0.0,1554145.89,6868.38,8033.0,109.19,6868.38,6868.38,6868.38,0.32,1.0,869.63,196257.0,170671.33,1.0,1.536984935E7,
0.0,0.0,1507964.47,46181.41,0.0,1554145.89,6868.38,8033.0,109.19,6868.38,6868.38,6868.38,0.32,1.0,869.63,196257.0,170671.33,1.0,1.536984935E7,
0.0,0.0,1492570.67,46181.41,0.0,1538752.08,6800.35,8033.0,55.12,6800.35,6800.35,6800.35,0.16,1.0,862.01,196257.0,169175.63,1.0,1.523515357E7,
0.0,0.0,1492570.67,30787.61,0.0,1523358.28,6732.32,8033.0,55.12,6732.32,6732.32,6732.32,0.08,1.0,854.39,196257.0,167679.93,1.0,1.510045778E7,
0.0,0.0,1477176.87,30787.61,0.0,1507964.47,6664.29,8033.0,27.27,6664.29,6664.29,6664.29,0.04,1.0,846.77,196257.0,166184.22,1.0,1.4965762E7,
0.0,0.0,1461783.06,15393.8,0.0,1477176.87,6528.22,8033.0,13.35,6528.22,6528.22,6528.22,0.01,1.0,831.53,196257.0,163192.82,1.0,1.469637043E7,
0.0,0.0,1446389.26,15393.8,0.0,1461783.06,6460.19,8033.0,6.39,6460.19,6460.19,6460.19,0.0,1.0,823.9,196257.0,161697.12,1.0,1.456167464E7,
