#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,16.0,1.35637,0.33498,0.21137,0.0,0.34617,0.26008,0.18238,
5.0,19.0,1.35689,0.32397,0.21245,0.0,0.34623,0.25801,0.1833,
5.0,23.0,1.3565,0.31153,0.21219,0.0,0.34689,0.25807,0.18285,
5.0,27.0,1.35549,0.30314,0.21229,0.0,0.34816,0.25857,0.18098,
5.0,30.0,1.35568,0.29229,0.21166,0.0,0.34824,0.25818,0.18192,
5.0,32.0,1.35621,0.29042,0.2124,0.0,0.34771,0.25734,0.18255,
5.0,36.0,1.35631,0.27703,0.21214,0.0,0.34664,0.25914,0.18208,
5.0,37.0,1.35683,0.27701,0.21251,0.0,0.34549,0.25959,0.1824,
5.0,36.0,1.3558,0.29388,0.21214,0.0,0.34839,0.25739,0.18208,
5.0,38.0,1.35577,0.2904,0.21288,0.0,0.34962,0.25478,0.18272,
5.0,43.0,1.35406,0.28073,0.20982,0.0,0.35334,0.25394,0.18289,
5.0,38.0,1.35967,0.3024,0.20658,0.0,0.34556,0.25215,0.19571,
5.0,39.0,1.35927,0.29916,0.20518,0.0,0.34617,0.25259,0.19605,
5.0,40.0,1.35822,0.30098,0.20554,0.0,0.34855,0.25127,0.19463,
5.0,44.0,1.35766,0.2882,0.20522,0.0,0.35104,0.24772,0.19602,
5.0,33.0,1.36103,0.33063,0.21701,0.0,0.34254,0.24995,0.1905,
5.0,35.0,1.35965,0.32418,0.2164,0.0,0.34434,0.25126,0.18799,
4.0,36.0,1.07925,0.23586,0.0,0.2665,0.0,0.42406,0.30943,
5.0,39.0,1.35963,0.18721,0.18635,0.21825,0.0,0.34375,0.25164,
5.0,38.0,1.35856,0.18289,0.18602,0.21433,0.0,0.34491,0.25474,
5.0,11.0,1.36311,0.2449,0.17753,0.25184,0.0,0.32918,0.24143,
5.0,14.0,1.36338,0.24221,0.17844,0.25143,0.0,0.32916,0.24097,
5.0,15.0,1.36272,0.24505,0.17874,0.25186,0.0,0.33142,0.23798,
5.0,15.0,1.36272,0.24505,0.17874,0.25186,0.0,0.33142,0.23798,
5.0,18.0,1.36309,0.22958,0.17966,0.24973,0.0,0.33141,0.2392,
5.0,18.0,1.36364,0.2252,0.17966,0.24973,0.0,0.32971,0.2409,
5.0,23.0,1.36358,0.21783,0.17837,0.25102,0.0,0.32851,0.24209,
5.0,24.0,1.36402,0.2178,0.17868,0.25146,0.0,0.32734,0.24251,
5.0,30.0,1.364,0.20375,0.18056,0.25235,0.0,0.32903,0.23806,
5.0,30.0,1.36756,0.22458,0.18756,0.2506,0.0,0.32378,0.23806,
5.0,13.0,1.3685,0.27915,0.18214,0.26206,0.0,0.31272,0.24308,
5.0,16.0,1.36792,0.2705,0.18168,0.26043,0.0,0.31486,0.24303,
5.0,18.0,1.36774,0.2673,0.1823,0.26132,0.0,0.31594,0.24043,
5.0,18.0,1.36774,0.2673,0.1823,0.26132,0.0,0.31594,0.24043,
5.0,18.0,1.36774,0.2673,0.1823,0.26132,0.0,0.31594,0.24043,
5.0,23.0,1.36738,0.25844,0.18215,0.26185,0.0,0.31695,0.23905,
